Time,Type,X,Y,Keys,Finger
14:32:32.873,swipe,"[187, 192]","[37, 66]","[e, s]",Left Middle
14:32:34.724,swipe,"[126, 162]","[118, 90]","[s, r]",Left Middle
14:32:35.357,swipe,"[304, 264]","[189, 127]","[v, e]",Left Index
14:32:36.608,tap,[516],[202],[n],Right Index
14:32:37.926,tap,[347],[56],[t],Right Index
14:32:38.267,tap,[595],[51],[i],Right Index
14:32:39.101,swipe,"[573, 509]","[193, 174]","[m, g]",Right Index
14:32:40.669,tap,[336],[39],[t],Right Index
14:32:41.678,tap,[612],[39],[i],Right Index
14:32:41.836,tap,[586],[200],[m],Right Index
14:32:42.228,tap,[158],[48],[w],Left Middle
14:32:43.537,swipe,"[201, 175]","[37, 54]","[e, t]",Left Middle
14:32:44.563,tap,[336],[41],[t],Right Index
14:32:44.646,tap,[605],[50],[i],Right Index
14:32:46.764,tap,[326],[44],[t],Right Index
14:32:47.122,tap,[596],[43],[i],Right Index
14:32:48.315,tap,[577],[200],[m],Right Index
14:32:48.740,swipe,"[187, 159]","[31, 52]","[e, t]",Left Index
14:32:50.933,tap,[336],[43],[t],Left Index
14:32:50.991,tap,[607],[41],[i],Right Middle
14:32:51.200,tap,[556],[165],[m],Right Middle
14:32:51.525,tap,[138],[105],[s],Left Middle
14:32:52.709,swipe,"[189, 175]","[41, 59]","[e, t]",Left Middle
14:32:54.085,swipe,"[322, 340]","[34, 38]","[t, u]",Right Index
14:32:54.843,swipe,"[566, 523]","[208, 186]","[m, g]",Right Index
14:32:55.294,swipe,"[185, 156.5]","[37, 66]","[e, s]",Left Middle
14:32:55.586,tap,[131],[102],[s],Left Middle
14:32:59.062,tap,[344],[51],[t],Left Index
14:32:59.104,tap,[598],[48],[i],Right Middle
14:32:59.663,swipe,"[578, 514]","[206, 181]","[m, g]",Right Middle
14:33:00.922,tap,[133],[81],[s],Left Ring
14:33:03.582,tap,[154],[117],[s],Left Ring
14:33:03.782,tap,[349],[58],[t],Left Index
14:33:04.024,tap,[69],[122],[a],Left Ring
14:33:04.249,tap,[427],[201],[b],Right Middle
14:33:04.874,tap,[593],[56],[i],Right Middle
14:33:05.174,tap,[698],[94],[l],Right Middle
14:33:05.991,tap,[605],[48],[i],Right Middle
14:33:07.100,swipe,"[334, 364]","[59, 49]","[t, u]",Left Index
14:33:09.227,tap,[684],[43],[o],Right Middle
14:33:10.427,tap,[300],[115],[f],Left Index
14:33:11.761,swipe,"[334, 381]","[41, 62]","[t, j]",Left Index
